CF;1996;2007;2008;2009;2010;2011;2012;2022;2023;2024
CFA/I;23.5;17.4;13.9;13;12.5;14.6;20.5;17.9;15;7
CS1;10;9.7;4;6.1;7.3;10.6;9.9;10.6;4;8
CS2;10;5.5;8.0;7;7.3;5.7;3.1;4.2;2;2
CS3;10;15.2;12;13.1;14.6;16.3;13;16.8;7;10
CS4;31;6.9;6.9;2.6;3.1;4.9;5.6;3.3;0.3;0.4
CS5;31;16;19.1;20.9;25;18.7;13.7;23;6;10
CS6;31;36;36.2;43.5;38.5;33.3;29.2;32.1;21;25
CS7;8;13.9;23.7;10.4;12.5;6.5;5.0;4.2;1.4;0.4
CS8;2.7;4.8;1.7;5.2;1.0;1.6;0;5.3;1.7;1.6
CS12;4;2.1;0.6;1.7;0;1.6;1.9;5.3;1.4;2.4
CS14;7;8.3;6.4;6.1;5.2;14.6;14.9;4.2;2;1.2
CS17;3;6.3;6.4;8.7;14.6;12.2;14.3;6.3;0.7;2
CS21;0;33.3;26.5;27.8;29.2;31.7;34.7;11.6;40;32
